simulation,y,ymin,ymax,.width,.point,.interval,divs,rhat,p_true
867,0.4903970364371535,0.4687307943827954,0.5124365404785315,0.8,mean,qi,0,TRUE,0.4735264587216079
868,0.8773136922948206,0.8613170735708107,0.8932100643935745,0.8,mean,qi,0,TRUE,0.897528687492013
869,0.2815954921763674,0.26237633745218647,0.3012423732733425,0.8,mean,qi,0,TRUE,0.28695347416214645
870,0.6850446251321374,0.664996443587959,0.7041628816011642,0.8,mean,qi,0,TRUE,0.661420636344701
871,0.031789586766547896,0.023905914447432446,0.04025662158125578,0.8,mean,qi,0,TRUE,0.026075205765664577
872,0.5453305290476689,0.5239714752139114,0.566346275548735,0.8,mean,qi,0,TRUE,0.5347683359868824
873,0.4537357262555224,0.4332409086294088,0.47459805053465765,0.8,mean,qi,0,TRUE,0.46253982931375504
874,0.2912443398644635,0.27325596955445314,0.30978921066831466,0.8,mean,qi,0,TRUE,0.2704560838174075
875,0.24577628137088162,0.22744508380990305,0.26390387644108554,0.8,mean,qi,0,TRUE,0.24441104591824114
876,0.1600130661157066,0.14482498787715364,0.17608999179271156,0.8,mean,qi,0,TRUE,0.15771722397767007
877,0.03932500270646606,0.03054779376505133,0.04896260769424738,0.8,mean,qi,0,TRUE,0.042055926052853465
878,0.5963837091841536,0.5741403173032039,0.6182001361686885,0.8,mean,qi,0,TRUE,0.5856255237013102
879,0.7445623572695003,0.7250455937168188,0.7641156578929468,0.8,mean,qi,0,TRUE,0.7659722589887679
880,0.4742650173549378,0.45282153582713947,0.4950803890757781,0.8,mean,qi,0,TRUE,0.4582280039321631
881,0.8068756578032716,0.7874613009054299,0.8262186873292222,0.8,mean,qi,0,TRUE,0.7980597433634102
882,0.18221952123580337,0.1666315870931251,0.19846882207551667,0.8,mean,qi,0,TRUE,0.1631603129208088
883,0.8715792036719017,0.8545479742586297,0.8890327188254111,0.8,mean,qi,0,TRUE,0.9007723287213594
884,0.8255939649260603,0.8096898437030213,0.8411142800286874,0.8,mean,qi,0,TRUE,0.848578542470932
885,0.23118304148614252,0.21424822644349506,0.24861481305387012,0.8,mean,qi,0,TRUE,0.2231841031461954
886,0.8671618309132456,0.8498591714304055,0.8843770881746544,0.8,mean,qi,0,TRUE,0.834479903569445
887,0.8769503634779602,0.8628158196404325,0.8910499072850868,0.8,mean,qi,0,TRUE,0.8626677149441093
888,0.16349013102632817,0.1479085968281979,0.1789637493525405,0.8,mean,qi,0,TRUE,0.1818810417316854
889,0.569981540681816,0.5463242273524275,0.5932969333319723,0.8,mean,qi,0,TRUE,0.5836034440435469
890,0.4505773829194649,0.43029471301624367,0.4708621610699857,0.8,mean,qi,0,TRUE,0.4450151054188609
891,0.6993442556234729,0.6800955069587157,0.718173177913533,0.8,mean,qi,0,TRUE,0.6836034348234534
892,0.25170372544370756,0.2344598215963709,0.2695547753267492,0.8,mean,qi,0,TRUE,0.2400027154944837
893,0.9381341052823979,0.923048474539101,0.9531008724800475,0.8,mean,qi,0,TRUE,0.9402090427465737
894,0.19479857756897395,0.17906280152803614,0.2109427248460518,0.8,mean,qi,0,TRUE,0.18863021000288427
895,0.5735455841579187,0.555146613729633,0.5921858890745433,0.8,mean,qi,0,TRUE,0.5645591085776687
896,0.07043008713228711,0.058937404316609585,0.08215641637850335,0.8,mean,qi,0,TRUE,0.0778255364857614
897,0.6365159667660281,0.6119143491747534,0.6618809358618315,0.8,mean,qi,0,TRUE,0.6503079107496887
898,0.960353536112376,0.9456440396272066,0.9751122434307772,0.8,mean,qi,0,TRUE,0.9652358049061149
899,0.357234329716064,0.33990297865455116,0.37464100379028886,0.8,mean,qi,0,TRUE,0.3592249806970358
900,0.30285372778753405,0.2846955247096429,0.3207970279194008,0.8,mean,qi,0,TRUE,0.3037108173593879
901,0.7435658204559258,0.7198782525695672,0.7680562285099971,0.8,mean,qi,0,TRUE,0.7369459266774356
902,0.6263359633782085,0.6041206380158544,0.6487306198925828,0.8,mean,qi,0,TRUE,0.6134828825015575
903,0.289185158317224,0.2717410891152929,0.3072557662091461,0.8,mean,qi,0,TRUE,0.28889202885329723
904,0.7251664504032782,0.7046232710303272,0.7457406559067872,0.8,mean,qi,0,TRUE,0.7447589668445289
905,0.3690644654419705,0.3485445093965912,0.3897195888437115,0.8,mean,qi,0,TRUE,0.3609865882899612
906,0.10097082664536965,0.08870423476939175,0.11412539561986998,0.8,mean,qi,0,TRUE,0.09398673358373344
907,0.47013403396308145,0.44823387741439996,0.49223816756526273,0.8,mean,qi,0,TRUE,0.4462982420809567
908,0.10002013075187567,0.0881354459656369,0.11220605938439741,0.8,mean,qi,0,TRUE,0.0922727866563946
